index,Category,Organization,Filed,Sub-Docket,Accession,Description,Accession_Num
12,Filed By,Ampjack Industries Ltd,08/11/2022,0,20220811-5031 Go to Doc InfoGo to File List,Ampjack Industries Ltd submits comments re the Tower Raising System under RM22-14.,20220811-5031
13,Filed By,UNITED STATES SENATOR,08/16/2022,0,20220816-4000 Go to Doc InfoGo to File List,"Comments of United States Senator John Hickenlooper et al, re the proposed reforms to how to approach critical electric transmission system infrastructure under RM22-14 et al.",20220816-4000
18,Filed By,Northwest & Intermountain Power Producers Coalition,09/14/2022,0,20220914-5113 Go to Doc InfoGo to File List,Comments of Northwest & Intermountain Power Producers Coalition under RM22-14.,20220914-5113
22,Filed By,Individual No Affiliation,10/04/2022,0,20221004-5118 Go to Doc InfoGo to File List,Comments of Sue Hilton under RM22-14.,20221004-5118
25,Filed By,"rPlus Hydro, LLLP",10/11/2022,0,20221011-5368 Go to Doc InfoGo to File List,"Comments of rPlus Hydro, LLLP of Interest for Notice of Proposed Rulemaking under RM22-14.",20221011-5368
27,Filed By,"Tri-State Generation and Transmission Association, Inc.",10/12/2022,0,20221012-5078 Go to Doc InfoGo to File List,"Comments of Tri-State Generation and Transmission Association, Inc. under RM22-14.",20221012-5078
28,Filed By,LADWP,10/12/2022,0,20221012-5067 Go to Doc InfoGo to File List,Comments of Los Angeles Department of Water and Power under RM22-014.,20221012-5067
30,Filed By,California Energy Storage Alliance,10/12/2022,0,20221012-5089 Go to Doc InfoGo to File List,Comments of California Energy Storage Alliance under RM22-14.,20221012-5089
31,Filed By,Pattern Energy Group LP,10/12/2022,0,20221012-5148 Go to Doc InfoGo to File List,Initial Comments of Pattern Energy Group LP under RM22-14.,20221012-5148
32,Filed By,"Pine Gate Renewables, LLC",10/13/2022,0,20221013-5099 Go to Doc InfoGo to File List,"Comments of Pine Gate Renewables, LLC under RM22-14.",20221013-5099
33,Filed By,Consumers Energy Company,10/13/2022,0,20221013-5105 Go to Doc InfoGo to File List,Initial Comments of Consumers Energy Company under RM22-14.,20221013-5105
35,Filed By,Colorado Public Utilities Commission,10/13/2022,0,20221013-5004 Go to Doc InfoGo to File List,Initial Comments of Colorado Public Utilities Commission under RM22-14.,20221013-5004
36,Filed By,Pennsylvania Public Utility Commission,10/13/2022,0,20221013-5030 Go to Doc InfoGo to File List,Comments of the Pennsylvania Public Utility Commission under RM22-14.,20221013-5030
37,Filed By,Colorado Public Utilities Commission,10/13/2022,0,20221013-5002 Go to Doc InfoGo to File List,Letter from Group of Western Regulators in General Support of Concerns Raised by Comments of Colorado PUC under RM22-14.,20221013-5002
38,Filed By,"NV Energy, Inc.",10/13/2022,0,20221013-5003 Go to Doc InfoGo to File List,"Initial Comments of NV Energy, Inc. under RM22-14.",20221013-5003
39,Filed By,Western Area Power Administration,10/13/2022,0,20221013-5005 Go to Doc InfoGo to File List,Comments of Western Area Power Administration re Improvements to Generator Interconnection Procedure and Agreements under RM22-14.,20221013-5005
41,Filed By,"Southern Company Services, Inc.",10/13/2022,0,20221013-5088 Go to Doc InfoGo to File List,Initial Comments of Southern Companies under RM22-14.,20221013-5088
