Category,Organization,Filed,Sub-Docket,Accession,Description
Issued By,"SECRETARY OF THE COMMISSION, FERC",12/15/2022,0,20221215-3093 Go to Doc InfoGo to File List,Notice of proposed rulemaking re Applications for Permits to Site Interstate Electric Transmission Facilities under RM22-7. Commr Danly and Commr Christie are concurring etc. For the errata see accession 20230117-4002.
Filed By,Missouri Public Service Commission,12/16/2022,0,20221216-5045 Go to Doc InfoGo to File List,(doc-less) Notice of Intervention of Missouri Public Service Commission under RM22-7.
Filed By,Mississippi Public Service Commission,12/16/2022,0,20221216-5075 Go to Doc InfoGo to File List,(doc-less) Notice of Intervention of the Mississippi Public Service Commission under RM22-7.
Filed By,"LSP Transmission Holdings II, LLC",12/19/2022,0,20221219-5213 Go to Doc InfoGo to File List,"(doc-less) Motion to Intervene of LSP Transmission Holdings II, LLC under RM22-7."
Filed By,Massachusetts Department of Public Utilities,12/28/2022,0,20221228-5011 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of Massachusetts Department of Public Utilities under RM22-7.
Filed By,Louisiana Public Service Commission,12/28/2022,0,20221228-5170 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of the Louisiana Public Service Commission under RM22-7.
Filed By,Public Service Commission of West Virginia,01/04/2023,0,20230104-5067 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of Public Service Commission of West Virginia under RM22-7.
Filed By,Kentucky Attorney General,01/05/2023,0,20230105-5033 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of Kentucky Attorney General under RM22-7.
Filed By,Illinois Commerce Commission,01/05/2023,0,20230105-5175 Go to Doc InfoGo to File List,(doc-less) Notice of Intervention of Illinois Commerce Commission under RM22-7.
Filed By,PacifiCorp,01/12/2023,0,20230112-5034 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of PacifiCorp under RM22-7.
Issued By,SECRETARY OF THE COMMISSION - FERC,01/17/2023,0,20230117-4002 Go to Doc InfoGo to File List,Errata to the 12/15/2022 Commission issued Notice of Proposed Rulemaking re Applications for Permits to Site Interstate Electric Transmission Facilities under RM22-7. Commr Danly & Commr Christie are concurring etc. For Order see accession 20221215-3093.
Filed By,North Dakota Public Service Commission,01/19/2023,0,20230119-5188 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of North Dakota Public Service Commission under RM22-7.
Filed By,National Association of Regulatory Utility Commissioners,02/27/2023,0,20230227-5022 Go to Doc InfoGo to File List,"Motion of National Association of Regulatory Utility Commissioners to extend the deadline for filing comments to May 17, 2023 under RM22-7."
Issued By,"SECRETARY OF THE COMMISSION, FERC",03/03/2023,0,20230303-3024 Go to Doc InfoGo to File List,Notice of Extension of Time re Applications for Permits to Site Interstate Electric Transmission Facilities under RM22-7
Issued By,US HOUSE OF REPRESENTATIVES CHAIR AND IMMEDIATE STAFF (FERC),03/20/2023,0,20230320-4001 Go to Doc InfoGo to File List,"Chairman Phillips' response to United States Representative Cathy McMorris Rodgers’ et al March 3, 2023 letter raising questions and concerns re the December 15, 2022, Notice of Proposed Rulemaking, etc. under RM22-7."
