Category,Organization,Filed,Sub-Docket,Accession,Description
Issued By,FEDERAL ENERGY REGULATORY COMMISSION,07/15/2021,0,20210715-3037 Go to Doc InfoGo to File List,News Release: Advance Notice of Proposed Rulemaking: Building for the Future Through Electric Regional Transmission Planning and Cost Allocation and Generator Interconnection.
Issued By,FEDERAL ENERGY REGULATORY COMMISSION,07/15/2021,0,20210715-3040 Go to Doc InfoGo to File List,News Release: FERC Begins Reform Process to Build the Transmission System of the Future.
Issued By,"COMMISSIONERS & IMMEDIATE STAFF (THE COMMISSION) SECRETARY OF THE COMMISSION, FERC",07/15/2021,0,20210715-3078 Go to Doc InfoGo to File List,"Advance Notice of Proposed Rulemaking re Building for the Future Through Electric Regional Transmission Planning etc. under RM21-17. Chairman Glick and Commissioner Clements are concurring with a joint separate statement attached,etc."
Filed By,WIRES,07/16/2021,0,20210716-5004 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of Wires under RM21-17.
Filed By,"Monitoring Analytics, LLC",07/16/2021,0,20210716-5023 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of the Independent Market Monitor for PJM under RM21-17.
Filed By,"Consolidated Edison Development, Inc.",07/16/2021,0,20210716-5031 Go to Doc InfoGo to File List,"(doc-less) Motion to Intervene of Consolidated Edison Development, Inc. under RM21-17."
Filed By,"LSP Transmission Holdings II, LLC",07/16/2021,0,20210716-5076 Go to Doc InfoGo to File List,"(doc-less) Motion to Intervene of LSP Transmission Holdings II, LLC under RM21-17."
Filed By,Missouri Public Service Commission,07/16/2021,0,20210716-5085 Go to Doc InfoGo to File List,(doc-less) Notice of Intervention of Missouri Public Service Commission under RM21-17.
Filed By,Sunflower Electric Power Corporation,07/21/2021,0,20210721-5086 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of Sunflower Electric Power Corporation under RM21-17.
Filed By,Massachusetts Attorney General Maura Healey,07/21/2021,0,20210721-5023 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of Massachusetts Attorney General Maura Healey under RM21-17.
Filed By,Kentucky Attorney General,07/22/2021,0,20210722-5097 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of Kentucky Attorney General under RM21-17.
Filed By,Delaware Public Service Commission,07/23/2021,0,20210723-5160 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of Delaware Public Service Commission under RM21-17.
Filed By,Maryland Energy Administration,07/27/2021,0,20210727-5141 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of the Maryland Energy Administration under RM21-17.
Filed By,Illinois Commerce Commission,07/29/2021,0,20210729-5094 Go to Doc InfoGo to File List,(doc-less) Notice of Intervention of the Illinois Commerce Commission under RM21-17.
Filed By,"Midwest Energy, Inc.",08/02/2021,0,20210802-5079 Go to Doc InfoGo to File List,"(doc-less) Motion to Intervene of Midwest Energy, Inc. under RM21-17."
Filed By,California Public Utilities Commission,08/02/2021,0,20210802-5028 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of California Public Utilities Commission under RM21-17.
Filed By,Louisiana Public Service Commission,08/04/2021,0,20210804-5060 Go to Doc InfoGo to File List,(doc-less) Notice of Intervention of the Louisiana Public Service Commission under RM21-17.
Filed By,Old Dominion Electric Cooperative,08/05/2021,0,20210805-5130 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of Old Dominion Electric Cooperative under RM21-17.
Filed By,North Carolina Utilities Commission,08/06/2021,0,20210806-5006 Go to Doc InfoGo to File List,Motion to Intervene of North Carolina Utilities Commission under RM21-17.
Filed By,Massachusetts Attorney General Maura Healey,08/06/2021,0,20210806-5022 Go to Doc InfoGo to File List,Notice of Withdrawal of Counsel of Massachusetts Attorney General under AD21-10 et al.
Filed By,ISO/RTO Council (IRC),08/06/2021,0,20210806-5194 Go to Doc InfoGo to File List,Motion of ISO/RTO Council for Extension of Time to Submit Comments under RM21-17.
Filed By,ISO/RTO Council (IRC),08/06/2021,0,20210806-5199 Go to Doc InfoGo to File List,Motion for Extension of Time to Submit Comments of Independent System Operators and Regional Transmission Organization Council under RM21-17.
Filed By,"Southern Maryland Electric Cooperative, Inc.",08/09/2021,0,20210809-5113 Go to Doc InfoGo to File List,"(doc-less) Motion to Intervene of Southern Maryland Electric Cooperative, Inc. under RM21-17."
Filed By,"Midwest Energy, Inc.",08/11/2021,0,20210811-5060 Go to Doc InfoGo to File List,"Request to Update Service List Information of Midwest Energy, Inc. under RM21-17."
Filed By,Portland General Electric Company,08/13/2021,0,20210813-5091 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of Portland General Electric Company under RM21-17.
Filed By,California Independent System Operator Corporation,08/13/2021,0,20210813-5187 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of the California Independent System Operator Corporation under RM21-17.
Filed By,NRDC/FERC Project,08/16/2021,0,20210816-5047 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of Natural Resources Defense Council under RM21-17.
Filed By,Arkansas Public Service Commission,08/16/2021,0,20210816-5195 Go to Doc InfoGo to File List,(doc-less) Notice of Intervention of Arkansas Public Service Commission under RM21-17.
Filed By,Individual No Affiliation,08/18/2021,0,20210818-5067 Go to Doc InfoGo to File List,Comments of Tom R Pike under RM21-17.
Filed By,Individual No Affiliation,08/19/2021,0,20210819-5010 Go to Doc InfoGo to File List,Comments of Elise Silvestri under RM21-17.
Filed By,Individual No Affiliation,08/19/2021,0,20210819-5013 Go to Doc InfoGo to File List,Comments of Taiji R Nelson under RM21-17.
