index,Category,Organization,Filed,Sub-Docket,Accession,Description,Accession_Num
20,Filed By,ISO/RTO Council (IRC),08/06/2021,0,20210806-5194 Go to Doc InfoGo to File List,Motion of ISO/RTO Council for Extension of Time to Submit Comments under RM21-17.,20210806-5194
21,Filed By,ISO/RTO Council (IRC),08/06/2021,0,20210806-5199 Go to Doc InfoGo to File List,Motion for Extension of Time to Submit Comments of Independent System Operators and Regional Transmission Organization Council under RM21-17.,20210806-5199
28,Filed By,Individual No Affiliation,08/18/2021,0,20210818-5067 Go to Doc InfoGo to File List,Comments of Tom R Pike under RM21-17.,20210818-5067
29,Filed By,Individual No Affiliation,08/19/2021,0,20210819-5010 Go to Doc InfoGo to File List,Comments of Elise Silvestri under RM21-17.,20210819-5010
30,Filed By,Individual No Affiliation,08/19/2021,0,20210819-5013 Go to Doc InfoGo to File List,Comments of Taiji R Nelson under RM21-17.,20210819-5013
31,Filed By,Individual No Affiliation,08/19/2021,0,20210819-5014 Go to Doc InfoGo to File List,Comments of Christian Pelfrey under RM21-17.,20210819-5014
32,Filed By,Individual No Affiliation,08/19/2021,0,20210819-5015 Go to Doc InfoGo to File List,Comments of Danielle McGuire under RM21-17.,20210819-5015
33,Filed By,Individual No Affiliation,08/19/2021,0,20210819-5011 Go to Doc InfoGo to File List,Comments of Amanda Waxman under RM21-17.,20210819-5011
34,Filed By,Individual No Affiliation,08/19/2021,0,20210819-5012 Go to Doc InfoGo to File List,Comments of John Blau under RM21-17.,20210819-5012
35,Filed By,Individual No Affiliation,08/19/2021,0,20210819-5016 Go to Doc InfoGo to File List,Comments of Ilyas X Khan under RM21-17.,20210819-5016
36,Filed By,"Organization of MISO States, Inc.",08/19/2021,0,20210819-5180 Go to Doc InfoGo to File List,"Organization of MISO States, Inc.'s Motion for Extension of Time to Submit Comments under RM21-17.",20210819-5180
37,Filed By,"Organization of PJM States, Inc.",08/20/2021,0,20210820-5124 Go to Doc InfoGo to File List,"Motion of The Organization of PJM States, Inc. for Extension of Time to submit Comments under RM21-17",20210820-5124
49,Filed By,National Conference of State Legislatures,09/17/2021,0,20210917-5077 Go to Doc InfoGo to File List,Comments of National Conference of State Legislatures under RM21-17.,20210917-5077
58,Filed By,Utah Public Service Commission,10/08/2021,0,20211008-5208 Go to Doc InfoGo to File List,Comments of the Utah Public Service Commission under RM21-17.,20211008-5208
59,Filed By,Idaho Governor’s Office of Energy and Mineral Resources,10/08/2021,0,20211008-5209 Go to Doc InfoGo to File List,Comments of Idaho Governor’s Office of Energy and Mineral Resources under RM21-17.,20211008-5209
62,Filed By,Center for Biological Diversity,10/08/2021,0,20211008-5220 Go to Doc InfoGo to File List,Comments of the Center for Biological Diversity under RM21-17.,20211008-5220
63,Filed By,Citizens Enterprises Corporation,10/08/2021,0,20211008-5174 Go to Doc InfoGo to File List,Initial Comments of Citizens Enterprises Corporation under RM21-17.,20211008-5174
65,Filed By,Individual No Affiliation,10/08/2021,0,20211008-5049 Go to Doc InfoGo to File List,"Comments of Competitive Energy Services, LLC under RM21-17.",20211008-5049
69,Filed By,"Handy Law, LLC",10/12/2021,0,20211012-5486 Go to Doc InfoGo to File List,"Comments of Handy Law, LLC under RM21-17.",20211012-5486
70,Filed By,MISO Transmission Owners,10/12/2021,0,20211012-5487 Go to Doc InfoGo to File List,Initial Comments of MISO Transmission Owners under RM21-17.,20211012-5487
71,Filed By,American Council on Renewable Energy,10/12/2021,0,20211012-5488 Go to Doc InfoGo to File List,Comments of the American Council on Renewable Energy under RM21-17.,20211012-5488
72,Filed By,San Diego Gas and Electric Company,10/12/2021,0,20211012-5492 Go to Doc InfoGo to File List,Comments of San Diego Gas and Electric Company under RM21-17.,20211012-5492
73,Filed By,UNION OF CONCERNED SCIENTISTS,10/12/2021,0,20211012-5493 Go to Doc InfoGo to File List,Comments of Union of Concerned Scientists under RM21-17.,20211012-5493
74,Filed By,New England Power Pool Participants Committee,10/12/2021,0,20211012-5561 Go to Doc InfoGo to File List,Initial Comments of the New England Power Pool Participants Committee under RM21-17.,20211012-5561
75,Filed By,BP America Inc.,10/12/2021,0,20211012-5562 Go to Doc InfoGo to File List,Comments of BP America Inc. under RM21-17.,20211012-5562
76,Filed By,Minnesota Department of Commerce,10/12/2021,0,20211012-5564 Go to Doc InfoGo to File List,Comments of Minnesota Department of Commerce under RM21-17.,20211012-5564
77,Filed By,Ohio Federal Energy Advocate,10/12/2021,0,20211012-5566 Go to Doc InfoGo to File List,Comments of The Public Utilities Commission of Ohio’s Office of The Federal Energy Advocate under RM21-17.,20211012-5566
78,Filed By,ELCON,10/12/2021,0,20211012-5576 Go to Doc InfoGo to File List,Comments of Electricity Consumers Resource Council under RM21-17.,20211012-5576
79,Filed By,"Northern Virginia Electric Cooperative, Inc.",10/12/2021,0,20211012-5579 Go to Doc InfoGo to File List,"Comments of Northern Virginia Electric Cooperative, Inc. under RM21-17.",20211012-5579
80,Filed By,Edison Electric Institute,10/12/2021,0,20211012-5582 Go to Doc InfoGo to File List,Initial Comments of the Edison Electric Institute under RM21-17.,20211012-5582
81,Filed By,WIRES,10/12/2021,0,20211012-5278 Go to Doc InfoGo to File List,Comments of WIRES under RM21-17.,20211012-5278
82,Filed By,"Pine Gate Renewables, LLC",10/12/2021,0,20211012-5166 Go to Doc InfoGo to File List,"Comments of Pine Gate Renewables, LLC under RM21-17.",20211012-5166
83,Filed By,American Electric Power Service Corporation,10/12/2021,0,20211012-5167 Go to Doc InfoGo to File List,Initial Comments of American Electric Power Service Corporation under RM21-17.,20211012-5167
85,Filed By,VEIR Inc.,10/12/2021,0,20211012-5169 Go to Doc InfoGo to File List,Comment of VEIR Inc. under RM21-17.,20211012-5169
86,Filed By,"New York Transmission Owners Central Hudson Gas & Electric Corporation New York Power Authority , Avangrid Service Company , Niagara Mohawk d/b/a/ National Grid , Consolidated Edison Company of New York, Inc. and Orange and , Long Island Power Authority ,",10/12/2021,0,20211012-5497 Go to Doc InfoGo to File List,Comments of the New York Transmission Owners under RM21-17.,20211012-5497
87,Filed By,U.S. Department of Energy,10/12/2021,0,20211012-5498 Go to Doc InfoGo to File List,Comments of U.S. Department of Energy under RM21-17.,20211012-5498
88,Filed By,IDHAO POWER COMPANY,10/12/2021,0,20211012-5500 Go to Doc InfoGo to File List,Comments of Idaho Power Company on the Advance Notice of Proposed Rulemaking etc. under RM21-17.,20211012-5500
89,Filed By,Nebraska Power Review Board,10/12/2021,0,20211012-5501 Go to Doc InfoGo to File List,Comments of Nebraska Power Review Board under RM21-17.,20211012-5501
90,Filed By,Xcel Energy Services Inc.,10/12/2021,0,20211012-5502 Go to Doc InfoGo to File List,Initial Comments of Xcel Energy Services Inc. under RM21-17.,20211012-5502
91,Filed By,Bridgelink Investments,10/12/2021,0,20211012-5504 Go to Doc InfoGo to File List,Comments of Bridgelink Investments on the future of transmission planning under RM21-17.,20211012-5504
92,Filed By,"Enel North America, Inc.",10/12/2021,0,20211012-5505 Go to Doc InfoGo to File List,"Comments of Enel North America, Inc. on the Advanced Notice of Proposed Rulemaking under RM21-17.",20211012-5505
93,Filed By,Renewable Energy Buyers Alliance,10/12/2021,0,20211012-5510 Go to Doc InfoGo to File List,Comments of Renewable Energy Buyers Alliance (REBA) under RM21-17.,20211012-5510
94,Filed By,Vistra Energy Corp.,10/12/2021,0,20211012-5513 Go to Doc InfoGo to File List,Comments of Vistra Corporation under RM21-17.,20211012-5513
96,Filed By,"Institute for Policy Integrity, New York University School o",10/12/2021,0,20211012-5530 Go to Doc InfoGo to File List,Comments of Institute for Policy Integrity at New York University School of Law under RM21-17.,20211012-5530
97,Filed By,"American Municipal Power, Inc.",10/12/2021,0,20211012-5532 Go to Doc InfoGo to File List,"Comments of American Municipal Power, Inc. under RM21-17.",20211012-5532
98,Filed By,American Clean Power Association Energy Storage Association,10/12/2021,0,20211012-5534 Go to Doc InfoGo to File List,Comments of American Clean Power Association and U.S. Energy Storage Association under RM21-17.,20211012-5534
99,Filed By,National Association of Regulatory Utility Commissioners,10/12/2021,0,20211012-5536 Go to Doc InfoGo to File List,Motion to Intervene and Comments of National Association of Regulatory Utility Commissioners under RM21-17.,20211012-5536
100,Filed By,Ameren Services Company,10/12/2021,0,20211012-5537 Go to Doc InfoGo to File List,Initial Comments of Ameren Services Company under RM21-17.,20211012-5537
101,Filed By,"City of New York, New York",10/12/2021,0,20211012-5540 Go to Doc InfoGo to File List,"Comments of City of New York, New York under RM21-17.",20211012-5540
102,Filed By,Large Public Power Council,10/12/2021,0,20211012-5573 Go to Doc InfoGo to File List,Comments of the Large Public Power Council under Docket No. RM21-17..,20211012-5573
103,Filed By,WATT Coalition,10/12/2021,0,20211012-5589 Go to Doc InfoGo to File List,Comments of the Watt Coalition RM21-17.,20211012-5589
105,Filed By,"Associated Electric Cooperative, Inc. Dalton Utilities Duke Energy Carolinas, LLC and Duke Energy Progress, LLC , Georgia Transmission Corporation , Louisville Gas & Electric Company , Kentucky Utilities Company , Municipal Electric Authority of Georgia , PowerSouth Energy Cooperative , Tennessee Valley Authority , Southern Company Services, Inc. ,",10/12/2021,0,20211012-5543 Go to Doc InfoGo to File List,Comments of the Sponsors of the Southeastern Regional Transmission Planning Process under RM21-17.,20211012-5543
106,Filed By,Pennsylvania Public Utility Commission,10/12/2021,0,20211012-5610 Go to Doc InfoGo to File List,Comments of the Pennsylvania Public Utility Commission under RM21-17.,20211012-5610
107,Filed By,"New York Independent System Operator, Inc.",10/12/2021,0,20211012-5611 Go to Doc InfoGo to File List,"Comments of New York Independent System Operator, Inc. under RM21-17.",20211012-5611
108,Filed By,Eversource Energy Service Company,10/12/2021,0,20211012-5613 Go to Doc InfoGo to File List,Comments of Eversource Energy Service Company re Advance Notice of Proposed Rulemaking under RM21-17.,20211012-5613
109,Filed By,North Carolina Utilities Commission Public Staff,10/12/2021,0,20211012-5614 Go to Doc InfoGo to File List,Comments of North Carolina Utilities Commission Public Staff under RM21-17.,20211012-5614
110,Filed By,Alabama Public Service Commission,10/12/2021,0,20211012-5617 Go to Doc InfoGo to File List,Comment of Alabama Public Service Commission under RM21-17.,20211012-5617
111,Filed By,Americans for a Clean Energy Grid,10/12/2021,0,20211012-5656 Go to Doc InfoGo to File List,Comments of Americans for a Clean Energy Grid under RM21-17.,20211012-5656
112,Filed By,Advanced Power Alliance,10/12/2021,0,20211012-5659 Go to Doc InfoGo to File List,Comment of Advanced Power Alliance under RM21-17.,20211012-5659
113,Filed By,"PSEG Companies PSEG Power LLC PSEG Energy Resources & Trade LLC , Public Service Electric and Gas Company ,",10/12/2021,0,20211012-5587 Go to Doc InfoGo to File List,"Comments of PSEG Companies, et. al. under RM21-17.",20211012-5587
114,Filed By,Northwest & Intermountain Power Producers Coalition,10/12/2021,0,20211012-5699 Go to Doc InfoGo to File List,Comments of Northwest & Intermountain Power Producers Coalition under RM21-17.,20211012-5699
115,Filed By,Center for Sustainable Energy,10/12/2021,0,20211012-5700 Go to Doc InfoGo to File List,Comments of Center for Sustainable Energy under RM21-17.,20211012-5700
116,Filed By,New York State Public Service Commission New York State Energy Research and Development Authority,10/12/2021,0,20211012-5702 Go to Doc InfoGo to File List,"Comments of New York State Public Service Commission and the New York State Energy Research and Development Authority, under RM21-17.",20211012-5702
117,Filed By,Harvard Electricity Law Initiative,10/12/2021,0,20211012-5710 Go to Doc InfoGo to File List,"Harvard Electricity Law Initiative comments on Transmission Planning Reforms and Prudence Reviews, under RM21-17.",20211012-5710
118,Filed By,"Clenera, LLC GREENFIELDS IRRIGATION DISTRICT",10/12/2021,0,20211012-5711 Go to Doc InfoGo to File List,Montana submits Qualifying Facility Developer Comments on RM21-17.,20211012-5711
119,Filed By,Transmission Dependent Utility Systems,10/12/2021,0,20211012-5714 Go to Doc InfoGo to File List,Comments of Transmission Dependent Utility Systems under RM21-17.,20211012-5714
120,Filed By,Individual No Affiliation,10/12/2021,0,20211012-5716 Go to Doc InfoGo to File List,Comments of Mike Holly under RM21-17.,20211012-5716
121,Filed By,Kansas Corporation Commission,10/12/2021,0,20211012-5720 Go to Doc InfoGo to File List,Comments of Kansas Corporation Commission under RM21-17.,20211012-5720
122,Filed By,Amazon Energy LLC,10/12/2021,0,20211012-5723 Go to Doc InfoGo to File List,Comments of Amazon Energy LLC under RM21-17.,20211012-5723
123,Filed By,California Municipal Utilities Association,10/12/2021,0,20211012-5724 Go to Doc InfoGo to File List,Comments of the California Municipal Utilities Association under RM21-17.,20211012-5724
124,Filed By,Department of the Interior - OEPC,10/12/2021,0,20211012-5725 Go to Doc InfoGo to File List,Comments of Department of the Interior under RM21-17.,20211012-5725
125,Filed By,Massachusetts Department of Energy Resources,10/12/2021,0,20211012-5379 Go to Doc InfoGo to File List,Initial Comments of Commonwealth of Massachusetts Department of Energy Resources under RM21-17.,20211012-5379
126,Filed By,State of Tennessee,10/12/2021,0,20211012-5382 Go to Doc InfoGo to File List,Notice of Intervention and Comment of The State of Tennessee under RM21-17.,20211012-5382
127,Filed By,R Street Institute,10/12/2021,0,20211012-5387 Go to Doc InfoGo to File List,Comments of R Street Institute under RM21-17.,20211012-5387
128,Filed By,Electricity Transmission Competition Coalition,10/12/2021,0,20211012-5389 Go to Doc InfoGo to File List,Comments of the Electricity Transmission Competition Coalition under RM21-17.,20211012-5389
130,Filed By,"Dominion Energy Services, Inc.",10/12/2021,0,20211012-5395 Go to Doc InfoGo to File List,"Comments of Dominion Energy Services, Inc. under RM21-17.",20211012-5395
131,Filed By,"North American Electric Reliability Corporation Western Electricity Coordinating Council Midwest Reliability Organization , Northeast Power Coordinating Council, Inc. , SERC Reliability Corporation , Texas Reliability Entity, Inc. , ReliabilityFirst Corporation ,",10/12/2021,0,20211012-5555 Go to Doc InfoGo to File List,Comments of the North American Electric Reliability Corporation et al on the Advance Notice of Proposed Rulemaking under RM21-17.,20211012-5555
132,Filed By,Duke Energy Corporation,10/12/2021,0,20211012-5557 Go to Doc InfoGo to File List,Comments of Duke Energy Corporation under RM21-17.,20211012-5557
133,Filed By,Individual No Affiliation,10/12/2021,0,20211012-5558 Go to Doc InfoGo to File List,Comments of Aaron Litz under RM21-17.,20211012-5558
134,Filed By,Pacific Gas and Electric Company,10/12/2021,0,20211012-5559 Go to Doc InfoGo to File List,Pacific Gas and Electric Company’s initial comments on the advance notice of proposed rulemaking under RM21-17.,20211012-5559
135,Filed By,Southwest Power Pool Market Monitoring Unit,10/12/2021,0,20211012-5565 Go to Doc InfoGo to File List,Comments of the Southwest Power Pool Market Monitoring Unit on the advance notice of proposed rulemaking under RM21-17.,20211012-5565
136,Filed By,Land Trust Alliance,10/12/2021,0,20211012-5568 Go to Doc InfoGo to File List,Comments of Land Trust Alliance under RM21-17.,20211012-5568
137,Filed By,Public Utility Commission of Oregon,10/12/2021,0,20211012-5569 Go to Doc InfoGo to File List,Comments of Public Utility Commission of Oregon under RM21-17.,20211012-5569
138,Filed By,"Southern Company Services, Inc.",10/12/2021,0,20211012-5570 Go to Doc InfoGo to File List,"Comments of Southern Company Services, Inc. under RM21-17..",20211012-5570
139,Filed By,The Dayton Power and Light Company,10/12/2021,0,20211012-5571 Go to Doc InfoGo to File List,Comments of The Dayton Power and Light Company d/b/a AES Ohio under RM21-17.,20211012-5571
140,Filed By,Arizona Public Service Company,10/12/2021,0,20211012-5572 Go to Doc InfoGo to File List,Comments of Arizona Public Service Company under RM21-17.,20211012-5572
141,Filed By,Michigan Public Service Commission,10/12/2021,0,20211012-5575 Go to Doc InfoGo to File List,Comments of the Michigan Public Service Commission under Docket No. RM21-17,20211012-5575
142,Filed By,Foundation for Resilient Societies,10/12/2021,0,20211012-5577 Go to Doc InfoGo to File List,Comments of Foundation for Resilient Societies presenting five basic proposals and asking for Reply Comments under RM21-17.,20211012-5577
143,Filed By,Duquesne Light Company,10/12/2021,0,20211012-5578 Go to Doc InfoGo to File List,Comments of Duquesne Light Company under RM21-17.,20211012-5578
144,Filed By,Solar Energy Industries Association,10/12/2021,0,20211012-5580 Go to Doc InfoGo to File List,Comments of Solar Energy Industries Association under RM21-17.,20211012-5580
145,Filed By,ISO New England Inc.,10/12/2021,0,20211012-5581 Go to Doc InfoGo to File List,ISO New England Inc. Comments in Response to the Advanced Notice of Proposed Rulemaking in RM21-17.,20211012-5581
