CID,Company,Form,Year,Period,Date/Time,Status,Filing ID
C000028,ISO New England Inc.,Form 714,2018,Q4,"9/3/2020, 2:12 PM",Migrated,26317
C011552,PUD No. 1 of Douglas County,Form 714,2018,Q4,"5/28/2020, 9:38 AM",Migrated,26301
C001183,California Independent System Operator Corporation,Form 714,2018,Q4,"7/8/2019, 2:45 PM",Migrated,26321
C000171,"Puget Sound Energy, Inc.",Form 714,2018,Q4,"6/17/2019, 11:18 AM",Migrated,26332
R714253,Southern Company,Form 714,2018,Q4,"6/17/2019, 10:13 AM",Migrated,26307
R714312,Glacier Wind Balancing Authority,Form 714,2018,Q4,"6/14/2019, 10:55 AM",Migrated,26335
C002869,"BHE Wind Watch, LLC",Form 714,2018,Q4,"6/14/2019, 10:53 AM",Migrated,26334
C000685,San Diego Gas & Electric,Form 714,2018,Q4,"6/14/2019, 9:49 AM",Migrated,26336
C011518,Gainesville Regional Utilities,Form 714,2018,Q4,"6/13/2019, 1:25 PM",Migrated,26333
C000071,Public Service Company of Colorado,Form 714,2018,Q4,"6/10/2019, 1:29 PM",Migrated,26297
C004519,Imperial Irrigation District,Form 714,2018,Q4,"6/10/2019, 12:23 PM",Migrated,26330
C003849,Basin Electric Power Cooperative,Form 714,2018,Q4,"6/7/2019, 7:24 AM",Migrated,26331
C000116,Tampa Electric Company,Form 714,2018,Q4,"6/6/2019, 4:28 PM",Migrated,26276
C011373,Florida Municipal Power Pool,Form 714,2018,Q4,"6/5/2019, 12:51 PM",Migrated,26326
C000622,Ohio Valley Electric Corporation,Form 714,2018,Q4,"6/5/2019, 7:39 AM",Migrated,26329
R714275,Western Area Power Administration - Upper Missouri West (Upper Great Plains Regi,Form 714,2018,Q4,"6/4/2019, 4:26 PM",Migrated,26288
C011374,City of St. Cloud,Form 714,2018,Q4,"6/3/2019, 5:04 PM",Migrated,26328
C002422,Orlando Utilities Commission,Form 714,2018,Q4,"6/3/2019, 5:01 PM",Migrated,26327
C000350,Southwestern Power Administration,Form 714,2018,Q4,"6/3/2019, 2:39 PM",Migrated,26305
C001344,"Midcontinent Independent System Operator, Inc.",Form 714,2018,Q4,"6/3/2019, 12:52 PM",Migrated,26294
R714234,Progress Energy (Florida Power Corp.),Form 714,2018,Q4,"6/3/2019, 12:51 PM",Migrated,26295
R714141,"City Utilities of Springfield, MO",Form 714,2018,Q4,"6/3/2019, 11:30 AM",Migrated,26325
R714307,PacifiCorp - Part II Sch 2 (East & West combined),Form 714,2018,Q4,"5/31/2019, 4:41 PM",Migrated,26324
R714229,PacifiCorp - West,Form 714,2018,Q4,"5/31/2019, 4:40 PM",Migrated,26323
R714228,PacifiCorp - East,Form 714,2018,Q4,"5/31/2019, 4:38 PM",Migrated,26322
C001526,"Avangrid Renewables, LLC",Form 714,2018,Q4,"5/31/2019, 3:23 PM",Migrated,26319
C002447,"Buckeye Power, Inc.",Form 714,2018,Q4,"5/31/2019, 3:23 PM",Migrated,26316
C011510,Los Angeles Department of Water and Power,Form 714,2018,Q4,"5/31/2019, 1:34 PM",Migrated,26320
C000379,Avista Corporation,Form 714,2018,Q4,"5/31/2019, 1:09 PM",Migrated,26318
C001556,Southern Power Company,Form 714,2018,Q4,"5/31/2019, 12:55 PM",Migrated,26315
C001555,Mississippi Power Company,Form 714,2018,Q4,"5/31/2019, 12:53 PM",Migrated,26314
C001554,Gulf Power Company,Form 714,2018,Q4,"5/31/2019, 12:51 PM",Migrated,26313
C001553,Georgia Power Company,Form 714,2018,Q4,"5/31/2019, 12:50 PM",Migrated,26312
C001552,ALABAMA POWER COMPANY,Form 714,2018,Q4,"5/31/2019, 12:47 PM",Migrated,26311
C000290,"Duke Energy Carolinas, LLC",Form 714,2018,Q4,"5/31/2019, 12:15 PM",Migrated,26310
C000241,"Dominion Energy South Carolina, Inc.",Form 714,2018,Q4,"5/31/2019, 8:01 AM",Migrated,26300
C011508,Metropolitan Water District of Southern California,Form 714,2018,Q4,"5/31/2019, 6:45 AM",Migrated,26309
R714150,"Dayton Power & Light Company, The",Form 714,2018,Q4,"5/30/2019, 8:09 PM",Migrated,26308
C001298,"Golden Spread Electric Cooperative, Inc.",Form 714,2018,Q4,"5/30/2019, 5:08 PM",Migrated,26306
R714274,Western Area Power Administration - Lower Colorado control area (Desert Southwe,Form 714,2018,Q4,"5/30/2019, 2:40 PM",Migrated,26303
C000620,Idaho Power Company,Form 714,2018,Q4,"5/30/2019, 1:55 PM",Migrated,26302
C011100,"Chugach Electric Association, Inc.",Form 714,2018,Q4,"5/30/2019, 1:45 PM",Migrated,26304
R714273,Western Area Power Administration - Colorado-Missouri Control Area (Rocky Mtn Re,Form 714,2018,Q4,"5/30/2019, 12:59 PM",Migrated,26287
C011544,Minnesota Municipal Power Agency,Form 714,2018,Q4,"5/30/2019, 12:06 PM",Migrated,26298
C000038,"New York Independent System Operator, Inc.",Form 714,2018,Q4,"5/30/2019, 11:57 AM",Migrated,26296
C003851,Platte River Power Authority,Form 714,2018,Q4,"5/30/2019, 11:09 AM",Migrated,26299
C004480,Tennessee Valley Authority,Form 714,2018,Q4,"5/30/2019, 10:01 AM",Migrated,26293
R714165,ERCOT,Form 714,2018,Q4,"5/30/2019, 8:31 AM",Migrated,26292
C003746,Nebraska Public Power District,Form 714,2018,Q4,"5/30/2019, 7:48 AM",Migrated,26290
R714101,"PowerSouth Energy Cooperative (Alabama Electric Cooperative, Inc.)",Form 714,2018,Q4,"5/30/2019, 7:47 AM",Migrated,26289
C003474,Seattle City Light,Form 714,2018,Q4,"5/30/2019, 6:16 AM",Migrated,26291
R714217,NorthWestern Energy,Form 714,2018,Q4,"5/29/2019, 4:27 PM",Migrated,26286
C001188,"Wolverine Power Supply Cooperative, Inc.",Form 714,2018,Q4,"5/28/2019, 3:13 PM",Migrated,26284
C003529,"Seminole Electric Cooperative, Inc",Form 714,2018,Q4,"5/28/2019, 1:01 PM",Migrated,26283
C001184,Tucson Electric Power Company,Form 714,2018,Q4,"5/28/2019, 12:41 PM",Migrated,26285
C004245,Salt River Project Agricultural Improvement and Power District,Form 714,2018,Q4,"5/28/2019, 12:00 PM",Migrated,26263
C011542,East Texas Electric Cooperative,Form 714,2018,Q4,"5/28/2019, 10:40 AM",Migrated,26282
C011543,Northeast Texas Electric Cooperative,Form 714,2018,Q4,"5/28/2019, 10:26 AM",Migrated,26281
C003749,Florida Municipal Power Agency,Form 714,2018,Q4,"5/24/2019, 2:59 PM",Migrated,26280
C011446,Oklahoma Municipal Power Authority,Form 714,2018,Q4,"5/24/2019, 1:32 PM",Migrated,26279
R714233,Progress Energy (Carolina Power & Light Company),Form 714,2018,Q4,"5/24/2019, 12:55 PM",Migrated,26277
C011400,Colorado Springs Utilities,Form 714,2018,Q4,"5/24/2019, 11:31 AM",Migrated,26278
C001436,Arizona Public Service Company,Form 714,2018,Q4,"5/23/2019, 2:49 PM",Migrated,26275
C000030,"PJM Interconnection, L.L.C.",Form 714,2018,Q4,"5/23/2019, 2:42 PM",Migrated,26273
C011512,Decatur Utilities,Form 714,2018,Q4,"5/23/2019, 2:33 PM",Migrated,26274
C003669,South Carolina Public Service Authority,Form 714,2018,Q4,"5/23/2019, 11:23 AM",Migrated,26262
C011491,Eugene Water & Electric Board,Form 714,2018,Q4,"5/23/2019, 11:22 AM",Migrated,26272
C000114,Southwest Power Pool (SPP),Form 714,2018,Q4,"5/23/2019, 9:58 AM",Migrated,26270
C002357,Bonneville Power Administration,Form 714,2018,Q4,"5/22/2019, 5:04 PM",Migrated,26271
C003680,Public Utility District No 1 of Chelan County,Form 714,2018,Q4,"5/22/2019, 2:08 PM",Migrated,26269
C003677,Public Utility District No. 2 of Grant County,Form 714,2018,Q4,"5/22/2019, 1:07 PM",Migrated,26268
C011428,City of Homestead,Form 714,2018,Q4,"5/22/2019, 12:27 PM",Migrated,26264
R714249,Sierra Pacific Resources,Form 714,2018,Q4,"5/22/2019, 11:57 AM",Migrated,26267
C001610,Nevada Power Company,Form 714,2018,Q4,"5/22/2019, 11:56 AM",Migrated,26266
C000465,El Paso Electric Company,Form 714,2018,Q4,"5/22/2019, 10:58 AM",Migrated,26265
C011405,"City of Tacoma, Dept. of Public Utilities",Form 714,2018,Q4,"5/22/2019, 10:40 AM",Migrated,26260
C003661,Louisville Gas and Electric Company and Kentucky Utilities Company,Form 714,2018,Q4,"5/22/2019, 8:40 AM",Migrated,26261
C007584,Cube Yadkin Transmission LLC,Form 714,2018,Q4,"5/21/2019, 3:50 PM",Migrated,26258
C011568,Modesto Irrigation District,Form 714,2018,Q4,"5/21/2019, 3:27 PM",Migrated,26259
C011431,City of Burbank,Form 714,2018,Q4,"5/21/2019, 6:19 AM",Migrated,26257
C002087,New Harquahala Generating Station,Form 714,2018,Q4,"5/20/2019, 4:51 PM",Migrated,26255
R714154,"Duke Energy Control Area Services, LLC (Gila River Maricopa Arizona)",Form 714,2018,Q4,"5/20/2019, 3:48 PM",Migrated,26254
C001132,Portland General Electric Company,Form 714,2018,Q4,"5/20/2019, 3:17 PM",Migrated,26256
R714153,"Duke Energy Control Area Services, LLC (Arlington Valley WECC AZ)",Form 714,2018,Q4,"5/20/2019, 2:11 PM",Migrated,26253
C000709,Griffith Energy (GRIF),Form 714,2018,Q4,"5/20/2019, 1:08 PM",Migrated,26252
C011378,"Gridforce Energy Management, LLC",Form 714,2018,Q4,"5/20/2019, 11:19 AM",Migrated,26251
R714282,Wisconsin Public Power Inc.,Form 714,2018,Q4,"5/17/2019, 9:39 AM",Migrated,26250
R714178,"Hawaiian Electric Company, Inc",Form 714,2018,Q4,"5/16/2019, 1:54 PM",Migrated,26249
C001218,Public Service Company of New Mexico,Form 714,2018,Q4,"5/14/2019, 2:15 PM",Migrated,26248
C003472,"Associated Electric Cooperative, Inc.",Form 714,2018,Q4,"5/14/2019, 1:46 PM",Migrated,26247
C011509,Turlock Irrigation District,Form 714,2018,Q4,"5/10/2019, 9:47 AM",Migrated,26246
C003836,"Tri-State Generation and Transmission Association, Inc.",Form 714,2018,Q4,"5/9/2019, 10:25 AM",Migrated,26243
C011421,JEA,Form 714,2018,Q4,"5/9/2019, 9:40 AM",Migrated,26245
C011399,Sacramento Municipal Utility District (& City of Redding Electric Utility),Form 714,2018,Q4,"5/8/2019, 4:20 PM",Migrated,26244
C003561,Oglethorpe Power Corporation (An Electric Membership Corporation),Form 714,2018,Q4,"5/7/2019, 4:27 PM",Migrated,26242
C001030,Florida Power & Light Company,Form 714,2018,Q4,"5/7/2019, 9:07 AM",Migrated,26241
C011501,"Arizona Electric Power Cooperative, Inc.",Form 714,2018,Q4,"5/6/2019, 2:47 PM",Migrated,26240
C000618,New York State Electric & Gas Corporation,Form 714,2018,Q4,"5/6/2019, 2:38 PM",Migrated,26238
C002079,"Electric Energy, Inc.",Form 714,2018,Q4,"5/6/2019, 10:21 AM",Migrated,26239
C000617,Rochester Gas and Electric Corporation,Form 714,2018,Q4,"5/3/2019, 3:47 PM",Migrated,26237
C011432,Black Hills Corporation,Form 714,2018,Q4,"5/3/2019, 10:27 AM",Migrated,26236
C000045,"Wabash Valley Power Association, Inc.",Form 714,2018,Q4,"5/1/2019, 1:06 PM",Migrated,26235
R714200,"Memphis Light, Gas and Water",Form 714,2018,Q4,"4/25/2019, 10:04 AM",Migrated,26234
C003808,"Central Electric Power Cooperative, Inc.",Form 714,2018,Q4,"4/22/2019, 2:53 PM",Migrated,26233
C011347,Lakeland Electric,Form 714,2018,Q4,"4/19/2019, 1:47 PM",Migrated,26232
C003850,Municipal Electric Authority of Georgia,Form 714,2018,Q4,"4/15/2019, 2:55 PM",Migrated,26231
C011474,City of Tallahassee,Form 714,2018,Q4,"3/22/2019, 9:19 AM",Migrated,26230
R714162,Electric Power Board of Chattanooga,Form 714,2018,Q4,"3/18/2019, 10:03 AM",Migrated,26229
C003554,Indiana Municipal Power Agency,Form 714,2018,Q4,"3/4/2019, 4:17 PM",Migrated,26228
C011562,Square Butte Electric Coop,Form 714,2018,Q4,"3/4/2019, 1:47 PM",Migrated,26227
C004098,"Minnkota Power Cooperative, Inc.",Form 714,2018,Q4,"3/4/2019, 1:42 PM",Migrated,26226
R714284,Missouri River Energy Services,Form 714,2018,Q4,"3/4/2019, 10:02 AM",Migrated,26225
