CID,Company,Form,Year,Period,Date/Time,Status,Filing ID
C001307,Liberty Utilities (Granite State Electric) Corp.,Form 1,2022,Q4,"5/31/2024, 4:59 PM",Accepted,181494
C001316,Wisconsin Electric Power Company,Form 1,2022,Q4,"5/22/2024, 8:16 AM",Accepted,170386
C000290,"Duke Energy Carolinas, LLC",Form 1,2022,Q4,"4/8/2024, 11:51 AM",Accepted,158042
C000120,Versant Power,Form 1,2022,Q4,"3/1/2024, 2:18 PM",Accepted,147175
C000822,Public Service Company of Colorado,Form 1,2022,Q4,"12/21/2023, 4:34 PM",Accepted,146804
C000620,Idaho Power Company,Form 1,2022,Q4,"10/25/2023, 11:34 AM",Accepted,135243
C000290,"Duke Energy Carolinas, LLC",Form 1,2022,Q4,"9/28/2023, 10:06 AM",Accepted,135175
C000290,"Duke Energy Carolinas, LLC",Form 1,2022,Q4,"9/20/2023, 2:29 PM",Accepted,135159
C007667,"Entergy New Orleans, LLC",Form 1,2022,Q4,"8/25/2023, 7:21 AM",Accepted,134091
C011644,Pioneer Power and Light Company,Form 1,2022,Q4,"8/15/2023, 2:49 PM",Accepted,133506
C000136,"Duke Energy Florida, LLC",Form 1,2022,Q4,"8/10/2023, 8:37 PM",Accepted,113429
C000602,The Dayton Power and Light Company,Form 1,2022,Q4,"7/25/2023, 4:55 PM",Accepted,113242
C002073,"Startrans IO, LLC",Form 1,2022,Q4,"7/19/2023, 1:50 PM",Accepted,113199
C000120,Versant Power,Form 1,2022,Q4,"7/18/2023, 3:18 PM",Accepted,113191
C001553,Georgia Power Company,Form 1,2022,Q4,"6/30/2023, 5:33 PM",Accepted,113090
C010473,LS Power Grid New York Corporation I,Form 1,2022,Q4,"6/30/2023, 11:49 AM",Accepted,113082
C005059,"Silver Run Electric, Llc",Form 1,2022,Q4,"6/28/2023, 10:36 AM",Accepted,113039
C005444,"Desertlink, Llc",Form 1,2022,Q4,"6/27/2023, 11:36 AM",Accepted,113019
C005067,GridLiance High Plains LLC,Form 1,2022,Q4,"6/16/2023, 4:47 PM",Accepted,112879
C000045,"Wabash Valley Power Association, Inc.",Form 1,2022,Q4,"6/8/2023, 2:51 PM",Accepted,112620
C010151,"Republic Transmission, Llc",Form 1,2022,Q4,"6/5/2023, 2:21 PM",Accepted,112309
C000945,Liberty Utilities (CalPeco Electric) LLC,Form 1,2022,Q4,"5/31/2023, 1:51 PM",Accepted,112040
C000120,Versant Power,Form 1,2022,Q4,"5/25/2023, 2:17 PM",Accepted,111467
C000465,El Paso Electric Company,Form 1,2022,Q4,"5/24/2023, 7:42 PM",Accepted,111342
C001330,Alcoa Power Generating Inc.,Form 1,2022,Q4,"5/22/2023, 2:55 PM",Accepted,111026
C001307,Liberty Utilities (Granite State Electric) Corp.,Form 1,2022,Q4,"5/18/2023, 4:59 PM",Accepted,110934
C000622,Ohio Valley Electric Corporation,Form 1,2022,Q4,"5/16/2023, 4:35 PM",Accepted,110822
C011304,Indiana-Kentucky Electric Corporation,Form 1,2022,Q4,"5/16/2023, 3:48 PM",Accepted,110816
C001298,"Golden Spread Electric Cooperative, Inc.",Form 1,2022,Q4,"5/15/2023, 4:49 PM",Accepted,110757
C000618,New York State Electric & Gas Corporation,Form 1,2022,Q4,"5/15/2023, 4:15 PM",Accepted,110750
C000617,Rochester Gas and Electric Corporation,Form 1,2022,Q4,"5/15/2023, 3:59 PM",Accepted,110748
C000196,VIRGINIA ELECTRIC AND POWER COMPANY,Form 1,2022,Q4,"5/11/2023, 4:42 PM",Accepted,110706
C000852,"System Energy Resources, Inc.",Form 1,2022,Q4,"5/11/2023, 1:45 PM",Accepted,110700
C002116,Yankee Atomic Electric Company,Form 1,2022,Q4,"5/11/2023, 8:01 AM",Accepted,110682
